Dataset,Algorithm,Training Time,homo,compl,v-meas,ARI,AMI,silhouette,AIC,BIC
letter,kmeans spherical 5,0.9449999332427979,1.0,1.0,1.0,1.0,1.0,0.13888699877677652,1355302.1150129701,1356005.5254051457
letter,kmeans spherical 2,0.07899999618530273,1.0,1.0,1.0,1.0,1.0,0.17517084245603928,1400909.7644026375,1401186.3864669763
letter,kmeans spherical 3,0.15599989891052246,1.0,1.0,1.0,1.0,1.0,0.15426923028464468,1381732.7579632963,1382151.6428035807
letter,kmeans spherical 6,1.3020000457763672,1.0,1.0,1.0,1.0,1.0,0.13585684778058763,1337522.6713850722,1338368.3445531935
letter,kmeans spherical 4,0.17599987983703613,1.0,1.0,1.0,1.0,1.0,0.1357364836375361,1367519.0818540058,1368080.2294702358
letter,kmeans spherical 5,0.18799996376037598,1.0,1.0,1.0,1.0,1.0,0.13866723798756483,1355269.2940784311,1355972.7044706068
letter,kmeans spherical 6,0.1550002098083496,1.0,1.0,1.0,1.0,1.0,0.12954169690231515,1346960.6556484047,1347806.3288165261
letter,kmeans spherical 7,0.5309998989105225,1.0,1.0,1.0,1.0,1.0,0.12655449930446744,1329410.6772963637,1330398.6132404308
letter,kmeans spherical 8,0.312999963760376,1.0,1.0,1.0,1.0,1.0,0.14098443016941786,1324135.731557637,1325265.9302776495
letter,kmeans spherical 9,0.2710001468658447,1.0,1.0,1.0,1.0,1.0,0.13521881270801969,1309716.9342240226,1310989.3957199808
letter,kmeans spherical 10,0.4160001277923584,1.0,1.0,1.0,1.0,1.0,0.13614627641318081,1304069.154499006,1305483.87877091
letter,kmeans spherical 11,0.3810000419616699,1.0,1.0,1.0,1.0,1.0,0.13503285758174785,1302766.5200447978,1304323.5070926475
letter,kmeans spherical 12,0.5289998054504395,1.0,1.0,1.0,1.0,1.0,0.14354936839791779,1289201.1147693272,1290900.3645931224
letter,kmeans spherical 13,0.7060000896453857,1.0,1.0,1.0,1.0,1.0,0.13312502671722359,1284473.3130089927,1286314.8256087336
letter,kmeans spherical 14,0.687000036239624,1.0,1.0,1.0,1.0,1.0,0.13344116104379447,1278884.4220419992,1280868.1974176858
letter,kmeans spherical 15,0.6370000839233398,1.0,1.0,1.0,1.0,1.0,0.13517199152741385,1273594.0765330237,1275720.114684656
letter,kmeans spherical 16,0.4889998435974121,1.0,1.0,1.0,1.0,1.0,0.13268178414303805,1270013.6682288728,1272281.9691564506
letter,kmeans spherical 17,0.5399999618530273,1.0,1.0,1.0,1.0,1.0,0.14813181888518939,1264983.919849705,1267394.4835532284
letter,kmeans spherical 18,0.7260000705718994,1.0,1.0,1.0,1.0,1.0,0.13476517487720385,1260879.3435850767,1263432.1700645459
letter,kmeans spherical 19,0.8229999542236328,1.0,1.0,1.0,1.0,1.0,0.12459464785666999,1257732.7872230462,1260427.8764784611
letter,kmeans spherical 20,0.9559998512268066,1.0,1.0,1.0,1.0,1.0,0.14420941064309842,1251900.212378799,1254737.5644101594
letter,kmeans spherical 21,1.0309998989105225,1.0,1.0,1.0,1.0,1.0,0.13367878100015457,1253360.8446939832,1256340.4595012893
letter,kmeans spherical 22,1.3650000095367432,1.0,1.0,1.0,1.0,1.0,0.13014062102956064,1245023.1569750067,1248145.0345582585
letter,kmeans spherical 23,1.7200000286102295,1.0,1.0,1.0,1.0,1.0,0.1405243612399569,1240014.358840263,1243278.4991994605
letter,kmeans spherical 24,0.6589999198913574,1.0,1.0,1.0,1.0,1.0,0.12750750004780639,1244514.9864874668,1247921.3896226098
letter,kmeans spherical 25,1.6800000667572021,1.0,1.0,1.0,1.0,1.0,0.12735464280473421,1236197.8414153643,1239746.507326453
letter,kmeans spherical 26,1.5160000324249268,1.0,1.0,1.0,1.0,1.0,0.13779108610309174,1233387.4216445913,1237078.3503316257
letter,kmeans spherical 27,1.0250000953674316,1.0,1.0,1.0,1.0,1.0,0.12724232442189798,1232286.8338030484,1236120.0252660285
letter,kmeans spherical 28,1.0759999752044678,1.0,1.0,1.0,1.0,1.0,0.13213679886831597,1225526.435234101,1229501.8894730266
letter,kmeans spherical 29,0.9569997787475586,1.0,1.0,1.0,1.0,1.0,0.14065070469396065,1224799.9468105393,1228917.6638254107
letter,kmeans spherical 30,1.7139999866485596,1.0,1.0,1.0,1.0,1.0,0.14572976737760643,1215777.7917394994,1220037.7715303164
letter,kmeans spherical 31,1.2680001258850098,1.0,1.0,1.0,1.0,1.0,0.1367735189502485,1217702.2322553336,1222104.4748220963
letter,kmeans tied 2,0.19099998474121094,1.0,1.0,1.0,1.0,1.0,0.1540749857232096,1254779.8126073796,1256115.5020037582
letter,kmeans tied 3,0.6710000038146973,1.0,1.0,1.0,1.0,1.0,0.086545664430866989,1240923.0716840681,1242393.1203688397
letter,kmeans tied 4,0.9100000858306885,1.0,1.0,1.0,1.0,1.0,0.083655921819786316,1239742.2582467813,1241346.6662199462
letter,kmeans tied 5,0.9320001602172852,1.0,1.0,1.0,1.0,1.0,0.07780317617605137,1228692.0545365766,1230430.8217981346
letter,kmeans tied 6,1.124000072479248,1.0,1.0,1.0,1.0,1.0,0.090525309495879017,1220489.8671925191,1222362.9937424702
letter,kmeans tied 7,0.7320001125335693,1.0,1.0,1.0,1.0,1.0,0.10442294412188322,1214683.5474446083,1216691.0332829524
letter,kmeans tied 8,1.1349999904632568,1.0,1.0,1.0,1.0,1.0,0.097964407217768487,1201692.8149795709,1203834.6601063083
letter,kmeans tied 9,0.7599999904632568,1.0,1.0,1.0,1.0,1.0,0.10689840781761968,1193098.3237688707,1195374.5281840011
letter,kmeans tied 10,1.312000036239624,1.0,1.0,1.0,1.0,1.0,0.10005131303292669,1186532.6358889039,1188943.1995924274
letter,kmeans tied 11,1.5409998893737793,1.0,1.0,1.0,1.0,1.0,0.10898655158830235,1179566.5851293358,1182111.5081212523
letter,kmeans tied 12,2.513000011444092,1.0,1.0,1.0,1.0,1.0,0.10892484028807417,1177183.3692973533,1179862.6515776631
letter,kmeans tied 13,2.4690001010894775,1.0,1.0,1.0,1.0,1.0,0.11306812820849942,1172976.5533058299,1175790.1948745328
letter,kmeans tied 14,1.6459999084472656,1.0,1.0,1.0,1.0,1.0,0.11365889354814515,1168371.3316810054,1171319.3325381014
letter,kmeans tied 15,1.375,1.0,1.0,1.0,1.0,1.0,0.11120366568545423,1166211.5148434606,1169293.8749889496
letter,kmeans tied 16,2.680999994277954,1.0,1.0,1.0,1.0,1.0,0.10686581346555235,1163033.7334943018,1166250.4529281841
letter,kmeans tied 17,3.623000144958496,1.0,1.0,1.0,1.0,1.0,0.11100254541811388,1160472.8223160282,1163823.9010383035
letter,kmeans tied 18,2.0900001525878906,1.0,1.0,1.0,1.0,1.0,0.10430438920024901,1155677.837991697,1159163.2760023654
letter,kmeans tied 19,3.0869998931884766,1.0,1.0,1.0,1.0,1.0,0.11122482069187566,1149647.7022859219,1153267.4995849833
letter,kmeans tied 20,2.3399999141693115,1.0,1.0,1.0,1.0,1.0,0.10853342084658479,1147087.0971373392,1150841.2537247939
letter,kmeans tied 21,3.3299999237060547,1.0,1.0,1.0,1.0,1.0,0.10072952009142458,1144838.4462036067,1148726.9620794544
letter,kmeans tied 22,3.0940001010894775,1.0,1.0,1.0,1.0,1.0,0.10839427875930222,1141512.3083809882,1145535.183545229
letter,kmeans tied 23,5.261000156402588,1.0,1.0,1.0,1.0,1.0,0.11019772189867406,1144035.4243934834,1148192.6588461176
letter,kmeans tied 24,3.507999897003174,1.0,1.0,1.0,1.0,1.0,0.10281012042491332,1139713.0028357906,1144004.5965768178
letter,kmeans tied 25,4.359999895095825,1.0,1.0,1.0,1.0,1.0,0.1105256578709517,1132774.6971822702,1137200.6502116905
letter,kmeans tied 26,5.584000110626221,1.0,1.0,1.0,1.0,1.0,0.09738480572463222,1133804.1315601564,1138364.4438779696
letter,kmeans tied 27,5.931999921798706,1.0,1.0,1.0,1.0,1.0,0.10291433326442752,1132312.1815580267,1137006.8531642333
letter,kmeans tied 28,7.0980000495910645,1.0,1.0,1.0,1.0,1.0,0.10162024616696323,1127588.8038424125,1132417.8347370122
letter,kmeans tied 29,6.763999938964844,1.0,1.0,1.0,1.0,1.0,0.11205783199419511,1124625.2331969107,1129588.6233799034
letter,kmeans tied 30,8.8510000705719,1.0,1.0,1.0,1.0,1.0,0.10739283745480123,1120467.0069973436,1125564.7564687293
letter,kmeans tied 31,7.885999917984009,1.0,1.0,1.0,1.0,1.0,0.10244278400897544,1122110.2634829697,1127342.3722427487
letter,kmeans diag 2,0.0709998607635498,1.0,1.0,1.0,1.0,1.0,0.17022737097172941,1359990.4477020663,1360504.1743929812
letter,kmeans diag 3,0.19299983978271484,1.0,1.0,1.0,1.0,1.0,0.14744550118400207,1341734.5034698863,1342509.0452500349
letter,kmeans diag 4,0.28099989891052246,1.0,1.0,1.0,1.0,1.0,0.10781918183220543,1314784.9151226906,1315820.2719920729
letter,kmeans diag 5,0.3510000705718994,1.0,1.0,1.0,1.0,1.0,0.11629672489928744,1297733.7770310205,1299029.9489896365
letter,kmeans diag 6,0.3489999771118164,1.0,1.0,1.0,1.0,1.0,0.10868300901839759,1291266.3625005893,1292823.349548439
letter,kmeans diag 7,0.5529999732971191,1.0,1.0,1.0,1.0,1.0,0.099957672433445485,1207775.7761453371,1209593.5782824205
letter,kmeans diag 8,0.48599982261657715,1.0,1.0,1.0,1.0,1.0,0.093636366883692659,1189449.0870463669,1191527.7042726839
letter,kmeans diag 9,0.7860000133514404,1.0,1.0,1.0,1.0,1.0,0.10391452888865288,1182687.6749496651,1185027.1072652158
letter,kmeans diag 10,0.7829999923706055,1.0,1.0,1.0,1.0,1.0,0.06364671209962483,1161283.4725703406,1163883.719975125
letter,kmeans diag 11,1.0150001049041748,1.0,1.0,1.0,1.0,1.0,0.086889227874967487,1171035.7364662625,1173896.7989602806
letter,kmeans diag 12,1.2360000610351562,1.0,1.0,1.0,1.0,1.0,0.096999639292492154,1165965.1381420135,1169087.0157252653
letter,kmeans diag 13,1.5980000495910645,1.0,1.0,1.0,1.0,1.0,0.046912178788743771,1144082.2284596984,1147464.9211321839
letter,kmeans diag 14,1.1419999599456787,1.0,1.0,1.0,1.0,1.0,0.080323148812476625,1151742.6203586361,1155386.1281203553
letter,kmeans diag 15,2.2130000591278076,1.0,1.0,1.0,1.0,1.0,0.02129106080371547,1111590.4611841454,1115494.7840350983
letter,kmeans diag 16,1.366999864578247,1.0,1.0,1.0,1.0,1.0,0.083581360201213831,1127874.4221246312,1132039.5600648178
letter,kmeans diag 17,1.930999994277954,1.0,1.0,1.0,1.0,1.0,0.065011638146142664,1124142.8764079898,1128568.82943741
letter,kmeans diag 18,2.42900013923645,1.0,1.0,1.0,1.0,1.0,0.025499486394970655,1096470.9028863949,1101157.6710050488
letter,kmeans diag 19,1.7700002193450928,1.0,1.0,1.0,1.0,1.0,0.074292527784889359,1124867.9282880162,1129815.5114959038
letter,kmeans diag 20,2.2049999237060547,1.0,1.0,1.0,1.0,1.0,0.066919885196469381,1109433.9907665264,1114642.3890636477
letter,kmeans diag 21,2.7690000534057617,1.0,1.0,1.0,1.0,1.0,0.027333814656677252,1062405.9919189792,1067875.2053053342
letter,kmeans diag 22,2.059000015258789,1.0,1.0,1.0,1.0,1.0,0.023052575910509996,1080285.7757378619,1086015.8042134505
letter,kmeans diag 23,2.490999937057495,1.0,1.0,1.0,1.0,1.0,0.017246603317465407,1057822.3445623801,1063813.1881272024
letter,kmeans diag 24,2.2950000762939453,1.0,1.0,1.0,1.0,1.0,0.043055569928793155,1072401.9012499319,1078653.5599039879
letter,kmeans diag 25,2.614000082015991,1.0,1.0,1.0,1.0,1.0,0.027502679766487313,1057459.2676307331,1063971.7413740228
letter,kmeans diag 26,2.558000087738037,1.0,1.0,1.0,1.0,1.0,0.017215538180195784,1037730.7155306062,1044504.0043631297
letter,kmeans diag 27,3.93500018119812,1.0,1.0,1.0,1.0,1.0,-0.0024766966902384376,1011275.5861281346,1018309.6900498918
letter,kmeans diag 28,3.0340001583099365,1.0,1.0,1.0,1.0,1.0,-0.027107896584853984,996837.18536385521,1004132.1043748461
letter,kmeans diag 29,3.312999963760376,1.0,1.0,1.0,1.0,1.0,0.028220850496085831,1017493.5739964102,1025049.3080966348
letter,kmeans diag 30,4.411999940872192,1.0,1.0,1.0,1.0,1.0,0.031031631063593017,1019077.3460692476,1026893.8952587058
letter,kmeans diag 31,2.427999973297119,1.0,1.0,1.0,1.0,1.0,0.04048544815464071,1005629.7909774098,1013707.1552561017
letter,kmeans full 2,0.6619999408721924,1.0,1.0,1.0,1.0,1.0,0.090262588706656433,1201813.3071364886,1204223.8708400121
letter,kmeans full 3,0.500999927520752,1.0,1.0,1.0,1.0,1.0,0.11160813526811175,1173337.6165864069,1176957.4138854684
letter,kmeans full 4,1.1080000400543213,1.0,1.0,1.0,1.0,1.0,0.077826668365784529,1140615.5844765988,1145444.6153711984
letter,kmeans full 5,1.7960000038146973,1.0,1.0,1.0,1.0,1.0,0.059333686801211039,1119347.2389322203,1125385.5034223578
letter,kmeans full 6,2.6429998874664307,1.0,1.0,1.0,1.0,1.0,0.075292925248097317,1079311.2288013713,1086558.7268870468
letter,kmeans full 7,2.6010000705718994,1.0,1.0,1.0,1.0,1.0,0.070899085574025328,1053047.5349039324,1061504.2665851461
letter,kmeans full 8,2.177999973297119,1.0,1.0,1.0,1.0,1.0,0.088689593046412663,1048874.5278897681,1058540.4931665198
letter,kmeans full 9,2.1590001583099365,1.0,1.0,1.0,1.0,1.0,0.076455999827430343,1031877.1243721185,1042752.3232444082
letter,kmeans full 10,4.539999961853027,1.0,1.0,1.0,1.0,1.0,0.070259863105959025,1018224.9553348442,1030309.3878026719
letter,kmeans full 11,3.2929999828338623,1.0,1.0,1.0,1.0,1.0,0.076405263520572975,1008294.1641842745,1021587.8302476403
letter,kmeans full 12,3.065999984741211,1.0,1.0,1.0,1.0,1.0,0.061625842919605461,1011673.0278654807,1026175.9275243846
letter,kmeans full 13,4.455000162124634,1.0,1.0,1.0,1.0,1.0,0.057237119622217406,900613.68473833206,916325.81799277384
letter,kmeans full 14,6.141000032424927,1.0,1.0,1.0,1.0,1.0,0.059754537388188929,894242.11724456493,911163.48409454478
letter,kmeans full 15,3.821000099182129,1.0,1.0,1.0,1.0,1.0,0.079317524140017456,954980.14383830409,973110.74428382202
letter,kmeans full 16,5.868000030517578,1.0,1.0,1.0,1.0,1.0,0.07325745328875316,954286.69156271161,973626.52560376748
letter,kmeans full 17,10.615999937057495,1.0,1.0,1.0,1.0,1.0,0.048903395981145778,869084.07097974792,889633.13861634186
letter,kmeans full 18,5.709000110626221,1.0,1.0,1.0,1.0,1.0,0.075526313942274936,938161.41158773541,959919.71281986742
letter,kmeans full 19,9.585999965667725,1.0,1.0,1.0,1.0,1.0,0.035786561894493425,862618.48861851206,885586.02344618202
letter,kmeans full 20,18.664000034332275,1.0,1.0,1.0,1.0,1.0,0.033860497546833901,884141.23313201009,908318.00155521813
letter,kmeans full 21,9.776999950408936,1.0,1.0,1.0,1.0,1.0,0.028181782478221406,883322.6717920003,908708.67381074629
letter,kmeans full 22,10.3510000705719,1.0,1.0,1.0,1.0,1.0,0.033790919336124291,868005.82419402502,894601.05980830907
letter,kmeans full 23,12.51200008392334,1.0,1.0,1.0,1.0,1.0,0.025082745873118324,817011.30704099301,844815.77625081514
letter,kmeans full 24,15.0,1.0,1.0,1.0,1.0,1.0,0.043302597291656419,887500.63078067114,916514.33358603122
letter,kmeans full 25,11.894999980926514,1.0,1.0,1.0,1.0,1.0,0.066165767575758247,894827.08251426823,925050.01891516638
letter,kmeans full 26,15.302000045776367,1.0,1.0,1.0,1.0,1.0,0.053344600315492575,895525.6791011435,926957.84909757972
letter,kmeans full 27,22.906999826431274,1.0,1.0,1.0,1.0,1.0,0.019650972105990625,850679.83330046991,883321.23689244408
letter,kmeans full 28,19.072999954223633,1.0,1.0,1.0,1.0,1.0,0.057795028339905664,852580.3563747853,886430.99356229755
letter,kmeans full 29,15.569000005722046,1.0,1.0,1.0,1.0,1.0,0.058950500346450191,860116.41396810138,895176.28475115169
letter,kmeans full 30,22.867000102996826,1.0,1.0,1.0,1.0,1.0,0.0585613315725265,852660.55927533808,888929.66365392634
